G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;R;R;R;R;GD;G;G;H;R;R;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;R;R;R;R;R;R;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;R;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;R;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;R;R;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;R;R;R;R;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;R;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;R;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;R;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;R;G;G;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;R;R;R;R;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;R;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;R;R;R;R;R;H;G;G;G;G;G;R;R;R;R;H;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G;G
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
