U, 0, 1, 0, 0
U, 1, 2, 1, 3
L, 1, 2, 1, 3
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
U, 0, 1, 1, 0
U, 0, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 1, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
R, 0, 1, 2, 1
D, 0, 1, 2, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
R, 0, 1, 1, 1
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
U, 1, 2, 1, 0
R, 1, 2, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
U, 1, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 1, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
R, 1, 0, 1, 1
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
R, 1, 0, 1, 0
D, 1, 0, 1, 2
L, 1, 0, 0, 0
U, 0, 1, 3, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
U, 0, 1, 0, 1
L, 2, 1, 0, 1
D, 2, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 3, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
D, 0, 1, 0, 1
L, 2, 1, 0, 1
D, 2, 1, 0, 1
L, 1, 1, 0, 0
L, 1, 2, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
L, 1, 0, 1, 0
U, 0, 1, 1, 0
U, 0, 1, 0, 1
R, 0, 0, 1, 1
