expected_choice, decision
9,8.099202410246646
9,8.530451681906214
7,8.404548140727915
8,7.288374612555612
8,7.114784248411246
8,7.1360090267978995
7,8.028821845263689
8,7.134460593388714
9,8.09418718691027
7,7.993282353991031
8,7.12852888426815
8,7.190876177324303
6,7.035052580570769
6,7.303884141514033
9,8.306717070574217
6,7.114784248411246
6,7.1355931937987345
9,7.902663436915255
6,7.197067099719259
8,6.760746141288432
6,7.12852888426815
7,7.997620033710351
9,7.997620033710351
8,7.577263483371941
8,7.191909747228665
6,7.020263650214626
6,7.114784248411246
9,7.941336318310316
8,7.114784248411246
6,7.173547645291428
7,7.773991772075629
8,8.226730906757195
7,7.535140798749656
8,7.191909747228665
9,7.995961590624623
6,7.535140798749656
8,7.020263650214626
7,7.916848702557315
8,7.173547645291428
6,7.114784248411246
9,7.916848702557315
9,8.59480432629681
9,7.997620033710351
8,7.121848557941831
8,7.258574206107198
9,7.414504438959025
7,7.902663436915255
6,7.231547314036459
6,7.114784248411246
6,7.414504438959025
8,7.12852888426815
8,7.279542477067494
7,7.783374110651272
8,7.134460593388714
8,7.114784248411246
8,7.122880661005639
8,7.102172212964363
7,8.019881048178604
6,7.114784248411246
7,7.934779376283373
7,8.071486771340094
9,8.137466747865167
8,7.643615312005869
8,7.209377140940582
9,7.997620033710351
6,7.231547314036459
8,7.12852888426815
8,7.191909747228665
6,7.12852888426815
7,8.552712696374467
6,7.114784248411246
9,7.535140798749656
8,7.114784248411246
7,7.706057064067401
7,7.997620033710351
6,7.102172212964363
9,7.997620033710351
6,7.093815977450951
9,7.936460074555746
8,7.158220691938118
9,7.936460074555746
9,7.916848702557315
7,7.635059185735594
6,7.093815977450951
8,7.231547314036459
6,7.109626895920651
8,7.093815977450951
9,7.997620033710351
8,7.119253005517071
6,7.414504438959025
8,7.114784248411246
6,7.156027017163739
8,7.102172212964363
8,7.114784248411246
7,8.066083567022508
8,7.12852888426815
6,7.193264121743941
6,7.114784248411246
8,7.191909747228665
